_id,PK,CCR,AGE,GENDER,RACE,ARRESTTIME,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
1332,1976123,16172870,44,M,B,2016-09-12T22:53:00,"Federal ST N & Hemlock ST Pittsburgh, PA 15212","9501 Bench Warrant / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","10 Block Steine ST Pittsburgh, PA 15212",Spring Hill-City View,1,2620,1,1,-79.99322651,40.46535609
3967,1979618,16239721,47,M,W,2016-12-26T20:36:00,"500 Block Triana ST Pittsburgh, PA 15210",2701 Simple Assault.,"4200 Block Bruce ST Pittsburgh, PA 15201",Central Lawrenceville,2,902,7,2,-79.95716513,40.46809787
4001,1979652,16227782,17,M,B,2016-12-27T15:19:00,"600 Block 1ST AV PITTSBURGH, PA 15219",13(a)(31) Marijuana: Possession Small Amount,"100 Block PARKFIELD AV PITTSBURGH, PA 15210",Carrick,3,2904,4,4,-79.98734141,40.39125233
4326,1980064,17002381,60,M,B,2017-01-04T20:09:00,"200 Block Venture ST Pittsburgh, PA 15214",2706 Terroristic Threats.,"200 Block Venture ST Pittsburgh, PA 15214",Perry North,1,2607,1,1,-80.01436966,40.48524843
4405,1980143,17004187,34,M,W,2017-01-07T22:28:00,"600 Block Liberty AV Pittsburgh, PA 15222","3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","600 Block Liberty AV Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.00162045,40.44177298
1333,1976124,16176809,30,M,B,2016-09-18T13:55:00,"1400 Block Locust ST Pittsburgh, PA 15219",2702 Aggravated Assault. / 4910 Tampering with or Fabricating Physical Evidence. / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 627.02(b) Possession or Smoking of a Small Amount of Marijuana,"1400 Block Locust ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.98545539,40.43603601
1408,1976218,16177120,21,F,W,2016-09-19T01:45:00,"800 Block Village RD Pittsburgh, PA 15205","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","800 Block Village RD Pittsburgh, PA 15205",Fairywood,6,2808,2,5,-80.07752278,40.45023114
1420,1976230,16177264,29,M,B,2016-09-19T09:25:00,"N Homewood AV & Felicia WY Pittsburgh, PA 15208",1501 Drivers Required to be Licensed. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 4524 Windshield Obstructions and Wipers. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"N Homewood AV & Felicia WY Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.89647477,40.45694103
2846,1978154,16210670,27,F,W,2016-11-08T13:37:00,"100 Block 5th AV Pittsburgh, PA 15222",903 Criminal Conspiracy. / 3929 Retail Theft. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,"100 Block 5th AV Pittsburgh, PA 15222",Central Business District,2,201,6,6,-80.00287326,40.44140616
1421,1976231,16178397,43,M,B,2016-09-30T09:30:00,Zone 1,4915 Failure to Comply with Megans Law,Zone 1,,1,,,,,
1425,1976235,15209766,35,M,B,2016-10-08T03:49:00,"800 Block Mt Pleasant RD Pittsburgh, PA 15214",2701 Simple Assault. / 2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 9501 Bench Warrant,"1400 Block Fifth AV Pittsburgh, PA 15219",Central Business District,2,201,6,3,-79.98631004,40.43836994
3305,1978747,16214531,27,M,B,2016-11-14T12:05:00,"Jumonville ST & Forbes AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 4703 Operation of Vehicle without Official Certif. of Inspection / 13(a)(31) Marijuana: Possession Small Amount,"Jumonville ST & Forbes AV Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.97773265,40.43733911
